StudentID,Course,Satisfaction,Expression
e5976e94,Math,Low,I find it difficult
6de30b71,Biology,Low,The course is too hard
fb5adfb2,Math,Low,I find it difficult
9352b96d,Chemistry,Medium,I find it difficult
b6dae7e4,Chemistry,High,The course is too hard
fadfa3af,Chemistry,Medium,I like this course
98f69553,Physics,Medium,The course is too hard
528aaf66,Chemistry,High,The course is too hard
3bdc1fef,Physics,Low,Everything is fine
06a09d3e,Biology,Medium,I find it difficult
917e6633,Chemistry,Medium,I like this course
22a7148c,Physics,High,I find it difficult
80b687f5,Biology,High,I find it difficult
bb8773b1,Biology,Medium,The pace is too fast
e47b46b3,Biology,Medium,Too much homework
2399c5b1,Math,Medium,I find it difficult
87012c3f,Physics,Medium,The course is too hard
b1ac1973,Chemistry,Medium,I like this course
a8b59f9b,Physics,Low,The pace is too fast
ae4a4622,Math,Low,Everything is fine
61d299c2,Biology,Medium,I like this course
e4e61301,Chemistry,Medium,The pace is too fast
7645b3c9,Chemistry,High,I like this course
5a421301,Math,High,The course is too hard
e3aefc36,Biology,High,I find it difficult
6a86be8a,Biology,Low,The course is too hard
566ebf19,Chemistry,Medium,The pace is too fast
e273c061,Math,Medium,I find it difficult
df23bb69,Biology,High,The course is too hard
ced7abd1,Physics,Medium,I find it difficult
f2e0191e,Math,High,Too much homework
db07c73a,Math,Low,I like this course
fc315937,Chemistry,Low,Everything is fine
29f1a476,Physics,High,I like this course
054ea834,Biology,Low,The course is too hard
324c77fd,Chemistry,Medium,Too much homework
a2811170,Biology,Medium,The course is too hard
a2940987,Biology,Low,The pace is too fast
b3de7ce7,Math,Medium,The pace is too fast
342aef96,Biology,Low,The course is too hard
a6d28fd7,Math,High,The course is too hard
d90da606,Math,High,The pace is too fast
5ea9ac38,Math,Medium,I find it difficult
8a459da9,Math,Medium,I like this course
32d8b1c7,Physics,Medium,The pace is too fast
572a893c,Biology,High,The course is too hard
230f7847,Physics,Low,The course is too hard
5f94f0a6,Biology,Medium,Too much homework
f6df30ab,Chemistry,Low,Everything is fine
19c32865,Physics,Medium,Everything is fine
a2ebf4dd,Biology,Low,Too much homework
c651940d,Math,High,I like this course
653d0dd6,Physics,Medium,Everything is fine
d01f592a,Biology,Medium,The pace is too fast
16d12710,Chemistry,High,I find it difficult
c65c6df3,Math,High,The course is too hard
195e6d8d,Math,High,The pace is too fast
ea9acd97,Physics,Low,I like this course
91bdc4e1,Biology,High,I find it difficult
ff3e4501,Biology,High,The pace is too fast
f1785d8c,Math,High,Too much homework
7d60cf34,Biology,Medium,I find it difficult
8dda2389,Chemistry,Medium,I find it difficult
5f186320,Math,Medium,I like this course
d3df2a61,Biology,Medium,The course is too hard
d84a78bb,Math,Low,Too much homework
91ded130,Physics,Medium,The course is too hard
95ccec24,Chemistry,Medium,The course is too hard
8d14f992,Biology,High,I like this course
38693343,Biology,High,The course is too hard
3b4d5fc0,Math,Medium,I find it difficult
5f19f7ec,Biology,Medium,Everything is fine
0a3fefaf,Math,Medium,Too much homework
7f47cc05,Math,High,I like this course
781dfc4b,Chemistry,Medium,Everything is fine
274e592d,Chemistry,Medium,The pace is too fast
880c3d8d,Physics,Medium,The pace is too fast
e29b36e5,Chemistry,Medium,Everything is fine
7e695ff5,Physics,High,The pace is too fast
f1bd357e,Biology,Low,I find it difficult
84432b06,Biology,Medium,I like this course
09468523,Chemistry,Low,Too much homework
d4afd38a,Math,Low,Too much homework
41c272ad,Physics,Medium,The pace is too fast
37838151,Biology,Low,Everything is fine
5c790b2d,Math,High,I find it difficult
0a840ddd,Chemistry,Low,I like this course
30f9004f,Biology,Low,Too much homework
555f8441,Math,Low,The pace is too fast
4b00df00,Chemistry,Low,The course is too hard
eb1ec1e4,Chemistry,Medium,The pace is too fast
4e7c4111,Physics,High,Everything is fine
d2b08e64,Math,Medium,Too much homework
6d96f954,Biology,Medium,The course is too hard
0d8da976,Chemistry,Low,The course is too hard
b48396a0,Math,Low,Everything is fine
89c14c2f,Physics,Low,Everything is fine
a48d28cf,Chemistry,Low,Too much homework
94667c97,Biology,High,The course is too hard
88ae33a3,Biology,Low,I find it difficult
